09:56:55.619 [INFO ] [circularDeps    ] 순환 참조 탐지 시작  {"totalNodes":31}
09:56:55.620 [DEBUG] [circularDeps    ] 루트 노드 DFS 시작  {"node":"app\\layout.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"app\\layout.tsx","stackDepth":1}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"app\\globals.css","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"app\\globals.css"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"app\\layout.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] 루트 노드 DFS 시작  {"node":"app\\page.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"app\\page.tsx","stackDepth":1}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\canvas\\DayNightContext.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\canvas\\WeatherContext.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\canvas\\DayNightButton.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\canvas\\WeatherButton.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\ui\\PortfolioModal.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\room\\portfolioData.ts","stackDepth":3}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\room\\portfolioData.ts"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\ui\\NavigationGuide.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 완료  {"node":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\canvas\\SceneContainer.tsx","stackDepth":2}
09:56:55.620 [DEBUG] [circularDeps    ] DFS 방문  {"node":"src\\components\\snowBackground\\SnowBackground.tsx","stackDepth":3}
