09:56:44.088 [DEBUG] [importResolver  ] tsconfig 후보 목록  {"candidates":["tsconfig.json"]}
09:56:44.110 [INFO ] [importResolver  ] tsconfig paths 발견 - 해당 설정 사용  {"file":"tsconfig.json","paths":["@/*"]}
09:56:44.110 [DEBUG] [importResolver  ] vite.config 파일 없음 - alias 로드 스킵
09:56:44.136 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"layout.tsx","specifier":"next","names":["Metadata"],"hasNamespace":false,"hasDefault":false}
09:56:44.136 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"layout.tsx","specifier":"next/font/google","names":["Geist","Geist_Mono"],"hasNamespace":false,"hasDefault":false}
09:56:44.136 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"layout.tsx","specifier":"./globals.css","names":[],"hasNamespace":false,"hasDefault":false}
09:56:44.139 [DEBUG] [importResolver  ] import 추출 완료  {"file":"layout.tsx","total":3}
09:56:44.252 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next"}
09:56:44.262 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next/font/google"}
09:56:44.262 [DEBUG] [importResolver  ] fallback 직접 resolve 성공  {"importPath":"./globals.css","from":"app\\layout.tsx","resolved":"app\\globals.css"}
09:56:44.280 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"next/dynamic","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.280 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"react","names":["useState"],"hasNamespace":false,"hasDefault":false}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/DayNightContext","names":["DayNightProvider"],"hasNamespace":false,"hasDefault":false}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherContext","names":["WeatherProvider"],"hasNamespace":false,"hasDefault":false}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/DayNightButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/PortfolioModal","names":["ModalType"],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/NavigationGuide","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.281 [DEBUG] [importResolver  ] dynamic import() 발견  {"file":"page.tsx","specifier":"@/components/canvas/SceneContainer"}
09:56:44.284 [DEBUG] [importResolver  ] import 추출 완료  {"file":"page.tsx","total":9}
09:56:44.299 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next/dynamic"}
09:56:44.349 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.350 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.351 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherContext","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.355 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.359 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherButton","from":"app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.362 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/PortfolioModal","from":"app\\page.tsx","resolved":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.362 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/ui/NavigationGuide","from":"app\\page.tsx","resolved":"src\\components\\ui\\NavigationGuide.tsx"}
