09:56:55.835 [INFO ] [magicValues     ] 마법 값 탐지 시작  {"projectRoot":"D:\\myRoom"}
09:56:55.837 [DEBUG] [magicValues     ] 리터럴 수집 대상 파일  {"count":48}
09:56:55.838 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"eslint.config.mjs","collected":4,"isInTestFile":false}
09:56:55.839 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"next-env.d.ts","collected":0,"isInTestFile":false}
09:56:55.839 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"next.config.ts","collected":0,"isInTestFile":false}
09:56:55.839 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"postcss.config.mjs","collected":0,"isInTestFile":false}
09:56:55.840 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"app/layout.tsx","collected":5,"isInTestFile":false}
09:56:55.842 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"undefined","file":"app/page.tsx"}
09:56:55.842 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"app/page.tsx","collected":1,"isInTestFile":false}
09:56:55.844 [DEBUG] [magicValues     ] 노이즈 문자열 스킵  {"value":"undefined","file":"src/app/page.tsx"}
09:56:55.844 [DEBUG] [magicValues     ] 파일 리터럴 수집 완료  {"file":"src/app/page.tsx","collected":1,"isInTestFile":false}
09:56:55.846 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.846 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.846 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1000","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"0","file":"src/components/room/AnimatedWrapper.tsx"}
09:56:55.847 [DEBUG] [magicValues     ] 노이즈 숫자 스킵  {"value":"1","file":"src/components/room/AnimatedWrapper.tsx"}
