09:56:44.036 [INFO ] [unusedFiles     ] 분석 시작  {"projectRoot":"D:\\myRoom"}
09:56:44.047 [INFO ] [unusedFiles     ] 파일 수집 완료  {"totalFound":49,"sourceFiles":45,"hiddenTraversalNodes":4}
09:56:44.048 [DEBUG] [unusedFiles     ] 소스 파일 목록  {"files":["app\\globals.css","app\\layout.tsx","app\\page.tsx","src\\app\\page.tsx","src\\components\\room\\AnimatedWrapper.tsx","src\\components\\room\\constants.ts","src\\components\\room\\layout.ts","src\\components\\room\\materials.ts","src\\components\\room\\Performance.ts","src\\components\\room\\portfolioData.ts","src\\components\\room\\Room.tsx","src\\components\\canvas\\DayNightButton.tsx","src\\components\\canvas\\DayNightContext.tsx","src\\components\\canvas\\SceneContainer.tsx","src\\components\\canvas\\WeatherButton.tsx","src\\components\\canvas\\WeatherContext.tsx","src\\components\\snowBackground\\Bonfire.tsx","src\\components\\snowBackground\\ChristmasTree.tsx","src\\components\\snowBackground\\ForestLights.tsx","src\\components\\snowBackground\\FrozenPond.tsx","src\\components\\snowBackground\\GlassSphere.tsx","src\\components\\snowBackground\\House.tsx","src\\components\\snowBackground\\LampPost.tsx","src\\components\\snowBackground\\Pedestal.tsx","src\\components\\snowBackground\\Snow.tsx","src\\components\\snowBackground\\SnowBackground.tsx","src\\components\\snowBackground\\Snowman.tsx","src\\components\\snowBackground\\Woodpile.tsx","src\\components\\ui\\NavigationGuide.tsx","src\\components\\ui\\PortfolioModal.tsx","src\\components\\room\\decorations\\CatFrames.tsx","src\\components\\room\\decorations\\catTextures.ts","src\\components\\room\\decorations\\IconFrames.tsx","src\\components\\room\\decorations\\iconTextures.ts","src\\components\\room\\decorations\\WallClock.tsx","src\\components\\room\\furniture\\Bed.tsx","src\\components\\room\\furniture\\CatBowls.tsx","src\\components\\room\\furniture\\Desk.tsx","src\\components\\room\\furniture\\Nightstand.tsx","src\\components\\room\\furniture\\Storage.tsx","src\\components\\room\\furniture\\SunbathingCat.tsx","src\\components\\room\\furniture\\Trashcan.tsx","src\\components\\room\\structure\\Floor.tsx","src\\components\\room\\structure\\Moulding.tsx","src\\components\\room\\structure\\Walls.tsx"]}
09:56:44.048 [DEBUG] [unusedFiles     ] 숨김 순회 노드 목록 (설정·테스트 파일)  {"files":["eslint.config.mjs","next-env.d.ts","next.config.ts","postcss.config.mjs"]}
09:56:44.074 [INFO ] [unusedFiles     ] 진입점 탐지 완료  {"count":3,"entryPoints":["app\\layout.tsx","app\\page.tsx","src\\app\\page.tsx"]}
09:56:44.110 [DEBUG] [unusedFiles     ] tsconfig 로드 완료  {"paths":{"@/*":["./src/*"]},"baseUrl":"(없음)"}
09:56:44.110 [DEBUG] [unusedFiles     ] Vite aliases 없음
09:56:44.111 [INFO ] [unusedFiles     ] BFS 도달성 분석 시작  {"queueInitialSize":7}
09:56:44.111 [DEBUG] [unusedFiles     ] BFS 방문  {"step":1,"file":"app\\layout.tsx","queueRemaining":6}
09:56:44.139 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"app\\layout.tsx","importCount":3}
09:56:44.252 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"next","from":"app\\layout.tsx"}
