09:56:55.621 [INFO ] [unusedPackages  ] 미사용 패키지 탐지 시작  {"projectRoot":"D:\\myRoom"}
09:56:55.621 [DEBUG] [unusedPackages  ] package.json dependencies 로드 완료  {"count":9,"packages":["@nodetoy/react-nodetoy","@react-three/drei","@react-three/fiber","@react-three/postprocessing","@types/three","next","react","react-dom","three"]}
09:56:55.642 [DEBUG] [unusedPackages  ] 소스 파일 수집 완료  {"count":48}
09:56:55.644 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"eslint","specifier":"eslint/config","from":"eslint.config.mjs"}
09:56:55.644 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"eslint-config-next","specifier":"eslint-config-next/core-web-vitals","from":"eslint.config.mjs"}
09:56:55.645 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"next","specifier":"next","from":"next.config.ts"}
09:56:55.651 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"react","specifier":"react","from":"app\\page.tsx"}
09:56:55.651 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"@/components","specifier":"@/components/canvas/DayNightContext","from":"app\\page.tsx"}
09:56:55.663 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"@react-three/fiber","specifier":"@react-three/fiber","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:55.663 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"@react-three/drei","specifier":"@react-three/drei","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:55.663 [DEBUG] [unusedPackages  ] 패키지 import 발견  {"package":"three","specifier":"three","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:55.834 [INFO ] [unusedPackages  ] import된 패키지 수집 완료  {"totalUsed":8,"usedPackages":["@/components","@react-three/drei","@react-three/fiber","eslint","eslint-config-next","next","react","three"]}
09:56:55.834 [WARN ] [unusedPackages  ] 미사용 패키지 발견  {"name":"@nodetoy/react-nodetoy","version":"^0.1.24"}
09:56:55.834 [WARN ] [unusedPackages  ] 미사용 패키지 발견  {"name":"@react-three/postprocessing","version":"^3.0.4"}
09:56:55.834 [DEBUG] [unusedPackages  ] @types 패키지 스킵 (TypeScript 암묵적 소비)  {"name":"@types/three"}
09:56:55.834 [WARN ] [unusedPackages  ] 미사용 패키지 발견  {"name":"react-dom","version":"19.2.3"}
09:56:55.834 [INFO ] [unusedPackages  ] 미사용 패키지 탐지 완료  {"total":3,"packages":["@nodetoy/react-nodetoy@^0.1.24","@react-three/postprocessing@^3.0.4","react-dom@19.2.3"]}
